kanji,kana,romaji
半,はん,han
晩,ばん,ban
～番,ばん,ban
番号,ばんごう,bangou
晩御飯,ばんごはん,bangohan
半分,はんぶん,hanbun
東,ひがし,higashi
～匹,ひき,hiki
引く,ひく,hiku
弾く,ひく,hiku
低い,ひくい,hikui
飛行機,ひこうき,hikouki
左,ひだり,hidari
人,ひと,hito
一つ,ひとつ,hitotsu
一月,ひとつき,hitotsuki
一人,ひとり,hitori
暇,ひま,hima
百,ひゃく,hyaku
病院,びょういん,byouin
病気,びょうき,byouki
平仮名,ひらがな,hiragana
昼,ひる,hiru
昼御飯,ひるごはん,hirugohan
広い,ひろい,hiroi
封筒,ふうとう,fuutou
吹く,ふく,fuku
服,ふく,fuku
二つ,ふたつ,futatsu
豚肉,ぶたにく,butaniku
二人,ふたり,futari
二日,ふつか,futsuka
太い,ふとい,futoi
冬,ふゆ,fuyu
降る,ふる,furu
古い,ふるい,furui
～分,ふん,fun
文章,ぶんしょう,bunshou
下手,へた,heta
部屋,へや,heya
辺,へん,hen
勉強,べんきょう(する),benkyou(suru)
便利,べんり,benri
帽子,ぼうし,boushi
外,ほか,hoka
欲しい,ほしい,hoshii
細い,ほそい,hosoi
本,ほん,hon
～本,ほん,hon
本棚,ほんだな,hondana
本当,ほんとう,hontou
～枚,まい,mai
毎朝,まいあさ,maiasa
毎月,まいげつ;まいつき,maigetsu;maitsuki
毎週,まいしゅう,maishuu
毎日,まいにち,mainichi
毎年,まいねん;まいとし,mainen;maitoshi
毎晩,まいばん,maiban
前,まえ,mae
～前,まえ,mae
曲る,まがる,magaru
町,まち,machi
待つ,まつ,matsu
窓,まど,mado
丸い;円い,まるい,marui
万,まん,man
万年筆,まんねんひつ,mannenhitsu
磨く,みがく,migaku
右,みぎ,migi
短い,みじかい,mijikai
水,みず,mizu
店,みせ,mise
見せる,みせる,miseru
道,みち,michi
三日,みっか,mikka
三つ,みっつ,mittsu
緑,みどり,midori
皆さん,みなさん,minasan
南,みなみ,minami
耳,みみ,mimi
見る,みる,miru
六日,むいか,muika
向こう,むこう,mukou
難しい,むずかしい,muzukashii
六つ,むっつ,muttsu
村,むら,mura
目,め,me
眼鏡,めがね,megane
木曜日,もくようび,mokuyoubi
持つ,もつ,motsu
物,もの,mono
門,もん,mon
問題,もんだい,mondai
～屋,や,ya
八百屋,やおや,yaoya
野菜,やさい,yasai
易しい,やさしい,yasashii
安い,やすい,yasui
休み,やすみ,yasumi
休む,やすむ,yasumu
八つ,やっつ,yattsu
山,やま,yama
夕方,ゆうがた,yuugata
夕飯,ゆうはん,yuuhan
郵便局,ゆうびんきょく,yuubinkyoku
昨夜,ゆうべ,yuube
有名,ゆうめい,yuumei
雪,ゆき,yuki
八日,ようか,youka
洋服,ようふく,youfuku
横,よこ,yoko
四日,よっか,yokka
四つ,よっつ,yottsu
呼ぶ,よぶ,yobu
読む,よむ,yomu
夜,よる,yoru
弱い,よわい,yowai
来月,らいげつ,raigetsu
来週,らいしゅう,raishuu
来年,らいねん,rainen
留学生,りゅうがくせい,ryuugakusei
両親,りょうしん,ryoushin
料理,りょうり,ryouri
旅行,りょこう,ryokou
零,れい,rei
冷蔵庫,れいぞうこ,reizouko
練習,れんしゅう(する),renshuu(suru)
廊下,ろうか,rouka
六,ろく,roku
若い,わかい,wakai
分かる,わかる,wakaru
忘れる,わすれる,wasureru
私,わたし;わたくし,watashi;watakushi
渡す,わたす,watasu
渡る,わたる,wataru
悪い,わるい,warui
